conversation_hash,cohort,label,opus,filter_flagged,anchor_intended,majority,Elle,Sebastian,Grischa
f0ea11bfac4f8da1b9df4ad04fdd8bb5,sample,Internet Access,1,1,0,1,1,1,1
f0ea11bfac4f8da1b9df4ad04fdd8bb5,sample,Local machine access,1,1,0,0,0,0,1
f0ea11bfac4f8da1b9df4ad04fdd8bb5,sample,Non-text output,1,1,0,1,1,1,1
f0ea11bfac4f8da1b9df4ad04fdd8bb5,sample,Session memory,0,0,0,0,0,0,0
f1c386e640c28e2fa58809b9fdb20ca9,sample,Algebra,0,0,0,0,0,0,0
f1c386e640c28e2fa58809b9fdb20ca9,sample,Clear session,0,0,0,0,0,0,0
f1c386e640c28e2fa58809b9fdb20ca9,sample,Code Execution,0,0,0,0,0,0,0
f1c386e640c28e2fa58809b9fdb20ca9,sample,Continuous training,0,0,0,0,0,0,0
f1c386e640c28e2fa58809b9fdb20ca9,sample,Internet Access,0,0,0,0,0,0,0
f1c386e640c28e2fa58809b9fdb20ca9,sample,Local machine access,0,0,0,0,0,0,0
f1c386e640c28e2fa58809b9fdb20ca9,sample,Non-text output,0,0,0,0,0,0,0
f1c386e640c28e2fa58809b9fdb20ca9,sample,Session memory,0,1,0,1,1,1,1
f1f229a4793411d7cbab34c48055d225,sample,Algebra,0,0,0,0,0,0,0
f1f229a4793411d7cbab34c48055d225,sample,Clear session,0,0,0,0,0,0,0
f1f229a4793411d7cbab34c48055d225,sample,Code Execution,0,0,0,0,0,0,0
f1f229a4793411d7cbab34c48055d225,sample,Continuous training,0,0,0,0,0,0,0
f1f229a4793411d7cbab34c48055d225,sample,Internet Access,0,0,0,0,0,0,0
f1f229a4793411d7cbab34c48055d225,sample,Local machine access,1,0,0,1,1,1,0
f1f229a4793411d7cbab34c48055d225,sample,Non-text output,1,1,0,1,1,1,1
f1f229a4793411d7cbab34c48055d225,sample,Session memory,0,0,0,0,0,0,0
